Ano;Órgão Orçamentário;Função;Unidade Orçamentária;Programa;Ação;Localizador;Região;UF;Município;Plano Orçamentário;Grupo de Despesa;Modalidade de Aplicação;Natureza de Despesa;Resultado Primário;Fonte;Subfunção;Origem do Crédito;Objetivo;Projeto de Lei;Dotação Inicial;Dotação Atual;Empenhado;Liquidado;Pago
Total;;;;;;;;;;;;;;;;;;;6.902.509.541;6.941.437.201;7.829.908.838;7.534.036.480;6.722.844.473;6.424.763.329
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900000 - Aplicações Diretas;1 - Primária obrigatória, considerada no cálculo do RP;100 - Recursos Primários de Livre Aplicação;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;7.686.431;14.586.431;0;0;0
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900000 - Aplicações Diretas;1 - Primária obrigatória, considerada no cálculo do RP;156 - Contribuição do Servidor para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;22.956.997;22.956.997;0;0;0
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900000 - Aplicações Diretas;1 - Primária obrigatória, considerada no cálculo do RP;169 - Contribuição Patronal para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;38.666.570;38.666.570;0;0;0
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900100 - Aposentadorias, Reserva Remunerada e Reformas;1 - Primária obrigatória, considerada no cálculo do RP;156 - Contribuição do Servidor para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];21.584.508;0;0;0;0;0
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900100 - Aposentadorias, Reserva Remunerada e Reformas;1 - Primária obrigatória, considerada no cálculo do RP;169 - Contribuição Patronal para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];38.666.570;0;0;0;0;0
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900101 - PROVENTOS - PESSOAL CIVIL;1 - Primária obrigatória, considerada no cálculo do RP;100 - Recursos Primários de Livre Aplicação;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;0;0;2.692.262;2.692.262;2.692.262
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900101 - PROVENTOS - PESSOAL CIVIL;1 - Primária obrigatória, considerada no cálculo do RP;156 - Contribuição do Servidor para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;0;0;17.613.517;17.613.517;17.613.517
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900101 - PROVENTOS - PESSOAL CIVIL;1 - Primária obrigatória, considerada no cálculo do RP;169 - Contribuição Patronal para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;0;0;32.847.930;32.847.930;32.847.930
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900105 - VANTAGEM PESSOAL - LEI 8.216/91 PESSOAL CIVIL;1 - Primária obrigatória, considerada no cálculo do RP;156 - Contribuição do Servidor para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;0;0;981;981;981
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900105 - VANTAGEM PESSOAL - LEI 8.216/91 PESSOAL CIVIL;1 - Primária obrigatória, considerada no cálculo do RP;169 - Contribuição Patronal para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;0;0;1.920;1.920;1.920
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900106 - 13 SALARIO - PESSOAL CIVIL;1 - Primária obrigatória, considerada no cálculo do RP;100 - Recursos Primários de Livre Aplicação;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;0;0;2.645.032;2.645.032;2.645.032
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900106 - 13 SALARIO - PESSOAL CIVIL;1 - Primária obrigatória, considerada no cálculo do RP;156 - Contribuição do Servidor para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;0;0;2.510.581;2.510.581;2.510.581
2012;26000 - Ministério da Educação;09 - Previdência Social;26252 - Universidade Federal de Campina Grande;0089 - Previdência de Inativos e Pensionistas da União;0181 - Pagamento de Aposentadorias e Pensões - Servidores Civis;0025 - No Estado da Paraíba;NE - Região Nordeste;PB - Paraíba;-;[valor não detalhado];1 - Pessoal e Encargos Sociais;90 - Aplicações Diretas;31900106 - 13 SALARIO - PESSOAL CIVIL;1 - Primária obrigatória, considerada no cálculo do RP;169 - Contribuição Patronal para o Plano de Seguridade Social do Servidor Público;272 - Previdência do Regime Estatutário;A - Inicial (LOA);[valor não detalhado];0;0;0;709.862;709.862;709.862
